codigo_comuna,nombre_comuna,pop_total,pop_chilean,pop_foreign,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,emp_rate_foreign,dependency_ratio
13115.0,Lo Barnechea,112620.0,98589.0,12198.0,10.83,34.0,42.0,14.87,15.03,0.63,0.73,0.46
13128.0,Renca,143622.0,130218.0,12523.0,8.72,35.0,33.0,10.9,12.03,0.61,0.72,0.47
13402.0,Buin,116969.0,110229.0,5960.0,5.1,34.0,34.0,12.19,13.37,0.63,0.73,0.46
